id,Family,Sex_Num
F2_P11_16,1,1
F2_P11_17,1,1
F2_P11_18,1,1
F2_P11_19,1,2
F2_P11_20,1,2
F2_P11_21,1,2
F2_P11_22,1,2
F2_P11_23,1,1
F2_P11_24,1,1
F2_P11_25,1,1
F2_P11_26,1,1
F2_P11_27,1,2
F2_P11_28,1,1
F2_P11_29,1,2
F2_P11_30,1,1
F2_P11_31,1,1
F2_P11_32,1,1
F2_P11_33,1,2
F2_P11_34,1,2
F2_P11_35,1,2
F2_P11_36,1,2
F2_P11_37,1,2
F2_P11_38,1,1
F2_P11_39,1,2
F2_P11_40,1,2
F2_P11_41,1,NA
F2_P11_42,1,1
F2_P11_43,1,1
F2_P11_44,1,2
F2_P11_45,1,2
F2_P11_46,1,2
F2_P11_47,1,2
F2_P11_48,1,1
F2_P11_49,1,1
F2_P11_50,1,1
F2_P12_1,4,1
F2_P12_2,4,1
F2_P12_3,4,2
F2_P12_4,4,1
F2_P12_5,4,1
F2_P12_6,4,1
F2_P12_7,4,2
F2_P12_8,4,2
F2_P12_9,4,2
F2_P12_10,4,2
F2_P12_11,4,1
F2_P12_12,4,2
F2_P12_13,4,1
F2_P12_14,4,2
F2_P12_15,4,1
F2_P12_16,4,2
F2_P12_17,4,1
F2_P12_18,4,2
F2_P12_19,4,1
F2_P12_20,4,1
F2_P12_21,4,1
F2_P12_22,4,1
F2_P12_23,4,1
F2_P12_24,4,2
F2_P12_25,4,2
F2_P12_26,4,1
F2_P12_27,4,2
F2_P12_28,4,2
F2_P12_29,4,1
F2_P12_30,4,2
F2_P12_31,4,2
F2_P12_32,4,1
F2_P12_33,4,2
F2_P12_34,4,1
F2_P12_35,4,1
F2_P12_36,4,1
F2_P12_37,4,1
F2_P12_38,4,1
F2_P12_39,4,2
F2_P12_40,4,2
F2_P12_41,4,2
F2_P12_42,4,2
F2_P12_43,4,2
F2_P12_44,4,1
F2_P12_45,4,2
F2_P12_46,4,1
F2_P12_47,4,2
F2_P12_48,4,1
F2_P12_49,4,1
F2_P12_50,4,1
F2_P14_1,4,2
F2_P14_2,4,2
F2_P14_3,4,1
F2_P14_4,4,1
F2_P14_5,4,1
F2_P14_6,4,2
F2_P14_7,4,1
F2_P14_8,4,2
F2_P14_9,4,2
F2_P14_10,4,1
F2_P14_11,4,2
F2_P14_12,4,1
F2_P14_13,4,2
F2_P14_14,4,1
F2_P14_15,4,1
F2_P14_16,4,2
F2_P14_17,4,1
F2_P14_18,4,2
F2_P14_19,4,1
F2_P14_20,4,1
F2_P14_21,4,1
F2_P14_22,4,1
F2_P14_23,4,2
F2_P14_24,4,2
F2_P14_25,4,1
F2_P14_26,4,2
F2_P14_27,4,1
F2_P14_28,4,1
F2_P14_29,4,1
F2_P14_30,4,1
F2_P14_31,4,1
F2_P14_32,4,1
F2_P14_33,4,2
F2_P14_34,4,NA
F2_P14_35,4,2
F2_P14_36,4,1
F2_P14_37,4,1
F2_P14_38,4,NA
F2_P14_39,4,2
F2_P14_40,4,1
F2_P14_41,4,1
F2_P14_42,4,1
F2_P14_43,4,1
F2_P14_44,4,2
F2_P14_45,4,2
F2_P14_46,4,1
F2_P14_47,4,1
F2_P14_48,4,2
F2_P14_49,4,2
F2_P14_50,4,1
