id,Speckling_Density,CV_DIFF
F2_P8_49,6.169516454,4.114014424
F2_P8_50,6.115654555,42.50590593
F2_P10_1,4.062047905,30.3379861
F2_P10_2,0,8.782073762
F2_P10_3,1.511074884,15.06159842
F2_P10_4,8.698845588,20.25018386
F2_P10_5,1.482370276,16.51631391
F2_P10_6,4.062047905,5.67004599
F2_P10_7,0.68616284,18.77186896
F2_P10_8,0.682512677,37.04823205
F2_P10_9,3.071047057,13.385608
F2_P10_10,4.879290293,32.48976081
F2_P10_11,3.073663103,33.30253706
F2_P10_12,2.337356963,48.94946861
F2_P10_13,5.520706547,11.89758953
F2_P10_14,1.381104352,0
F2_P10_15,4.102386823,10.11148451
F2_P10_16,7.091096959,0
F2_P10_17,1.125705888,21.10614046
F2_P10_18,6.050441985,24.37899007
F2_P10_19,2.715486282,39.3978117
F2_P10_20,1.962946441,27.84048027
F2_P10_21,3.095904145,46.20669924
F2_P10_22,1.093691043,46.004423
F2_P10_23,2.792245098,71.55837883
F2_P10_24,1.109686397,83.4983581
F2_P10_25,2.366598772,93.21045709
F2_P10_26,2.841934448,20.75084153
F2_P10_27,6.266908413,16.71656785
F2_P10_28,3.445001131,53.04725655
F2_P10_29,17.62238748,4.869715312
F2_P10_30,2.966203501,26.27351936
F2_P10_31,4.590449295,36.98856355
F2_P10_32,1.598071575,25.9921939
F2_P10_33,7.148162767,42.55963116
F2_P10_34,9.368947018,9.263332266
F2_P10_35,6.333755584,55.278781
F2_P10_36,6.408139822,27.15317186
F2_P10_37,6.050731058,6.139195201
F2_P10_38,5.512412066,73.43585687
F2_P10_39,4.875410411,53.87368413
F2_P10_40,1.846195883,29.88500721
F2_P10_41,1.971602825,30.14096155
F2_P10_42,0,56.7103973
F2_P10_43,0.855285665,14.71777085
F2_P10_44,4.932561607,12.6427999
F2_P10_45,3.979437544,34.82851547
F2_P10_46,5.831585602,35.42081867
F2_P10_47,2.397639248,39.54715513
F2_P10_48,15.81717283,63.23790924
F2_P10_49,2.386798142,11.26063664
F2_P10_50,10.31158082,29.80848519
F2_P11_1,2.748665843,1.4984956
F2_P11_2,2.879777912,11.92430606
F2_P11_3,5.18434225,44.70126385
F2_P11_4,0,29.54361656
F2_P11_5,0,18.07767925
F2_P11_6,5.387190876,53.70793905
F2_P11_7,3.327096414,45.66239097
F2_P11_8,3.303760145,19.63188198
F2_P11_9,2.684770715,0
F2_P11_10,1.897308914,56.39503583
F2_P11_11,7.742111305,13.43660629
F2_P11_12,5.770810806,67.52377904
F2_P11_13,0.98566333,48.64755096
F2_P11_14,4.004223455,31.29903973
F2_P11_15,5.222462202,78.80560676
F2_P11_16,5.874412321,109.679101
F2_P11_17,0,25.36212421
F2_P11_18,NA,45.00259231
F2_P11_19,3.886093061,91.5772662
F2_P11_20,6.518004562,37.27270406
F2_P11_21,7.233273056,9.851862308
F2_P11_22,1.438132269,34.39495606
F2_P11_23,0,31.84513989
F2_P11_24,1.935168002,18.83663616
F2_P11_25,0,4.85863069
F2_P11_26,2.633595727,6.286074702
F2_P11_27,2.933066327,46.77778473
F2_P11_28,0,0
F2_P11_29,0,66.36361862
F2_P11_30,3.382470291,70.49937809
F2_P11_31,1.540064153,37.59461743
F2_P11_32,1.296899955,70.17364937
F2_P11_33,1.25950718,59.37264168
F2_P11_34,0,46.92783663
F2_P11_35,0,19.22071409
F2_P11_36,0,28.79750591
F2_P11_37,2.723404255,37.56640884
F2_P11_38,3.306640088,15.05349133
F2_P11_39,1.37439727,74.96964124
F2_P11_40,1.61693304,67.43130366
F2_P11_41,0,44.83862363
F2_P11_42,0,50.37796065
F2_P11_43,2.192240346,14.99824596
F2_P11_44,3.169002089,90.7806731
F2_P11_45,3.831417625,61.89941989
F2_P11_46,4.683824534,36.30292123
F2_P11_47,2.258886459,71.69201844
F2_P11_48,0,48.06178411
F2_P11_49,2.118645751,76.48957993
F2_P11_50,0,3.580416632
F2_P12_1,0.974932399,44.47354002
F2_P12_2,NA,NA
F2_P12_3,11.42144445,24.99390669
F2_P12_4,1.514830188,4.939499101
F2_P12_5,3.087729699,1.436071002
F2_P12_6,NA,42.47218991
F2_P12_7,1.781917105,47.35444962
F2_P12_8,2.395094324,36.5779888
F2_P12_9,2.93693925,63.44317503
F2_P12_10,2.250987339,64.73407404
F2_P12_11,0.255543146,0
F2_P12_12,5.766930521,45.86017874
F2_P12_13,0.402554531,29.73678511
F2_P12_14,1.018773551,7.851289973
F2_P12_15,0.897721269,2.756930368
F2_P12_16,10.39868909,8.12801635
F2_P12_17,0.515555601,64.68141299
F2_P12_18,1.402253534,59.8796957
F2_P12_19,0.661813369,41.68961448
F2_P12_20,0,41.78241296
F2_P12_21,4.882266185,83.7638039
F2_P12_22,1.483066348,56.27830447
F2_P12_23,NA,12.38884496
F2_P12_24,1.001751563,63.81230828
F2_P12_25,2.647253475,86.87132272
F2_P12_26,1.939238069,39.23579984
F2_P12_27,0.904681683,11.65398871
F2_P12_28,3.678558711,21.74456928
F2_P12_29,1.262515474,48.67389774
F2_P12_30,1.716655025,57.4430562
F2_P12_31,3.944773176,17.60038313
F2_P12_32,2.207037802,40.72272029
F2_P12_33,1.10223202,26.15929836
F2_P12_34,0.939868763,23.25332386
F2_P12_35,0.278432326,60.81340871
F2_P12_36,1.200885869,89.12685098
F2_P12_37,0.935635454,17.94034733
F2_P12_38,0.729608004,41.02008417
F2_P12_39,0.611759797,33.44590363
F2_P12_40,0,50.32313853
F2_P12_41,0.825334467,102.1302845
F2_P12_42,2.058209245,91.619788
F2_P12_43,0,5.668805375
F2_P12_44,1.502395946,28.79565439
F2_P12_45,5.03875305,30.183551
F2_P12_46,0.997221409,20.12232983
F2_P12_47,1.829652073,69.58388475
F2_P12_48,0,40.38087058
F2_P12_49,1.293175353,14.90293821
F2_P12_50,3.786747839,62.73071086
F2_P14_1,15.36677262,48.09069935
F2_P14_2,7.877858895,24.49629093
F2_P14_3,0,39.57261676
F2_P14_4,2.09487672,58.11841552
F2_P14_5,0.710730412,49.32987469
F2_P14_6,4.149663003,6.381653186
F2_P14_7,3.567299355,45.70694975
F2_P14_8,3.845740333,39.24338324
F2_P14_9,NA,26.34412839
F2_P14_10,5.210238068,54.13512785
F2_P14_11,5.041910137,75.86996293
F2_P14_12,NA,67.95296168
F2_P14_13,2.07421973,31.97149227
F2_P14_14,1.883475404,41.13937339
F2_P14_15,10.64710347,40.80387274
F2_P14_16,4.965448424,54.33341223
F2_P14_17,4.502915638,32.69849769
F2_P14_18,6.323870715,62.90579279
F2_P14_19,2.881375816,40.89578407
F2_P14_20,3.305621209,45.99204547
F2_P14_21,4.355047892,29.54035004
F2_P14_22,4.587547378,86.29693756
F2_P14_23,6.359300477,13.43633629
F2_P14_24,4.516020356,46.65298237
F2_P14_25,6.236430891,45.43660694
F2_P14_26,4.382337487,27.00010517
F2_P14_27,0.419177013,32.60341934
F2_P14_28,1.483679525,34.62615816
F2_P14_29,6.386351526,58.12687343
F2_P14_30,0.637526906,34.70269724
F2_P14_31,1.664223459,18.3523715
F2_P14_32,0,26.8109437
F2_P14_33,3.198962683,63.47703628
F2_P14_34,3.238254144,32.58412811
F2_P14_35,4.621776888,74.794931
F2_P14_36,1.356063366,72.191065
F2_P14_37,0.827663608,47.86421006
F2_P14_38,2.798475614,30.17692253
F2_P14_39,5.073789036,73.17754614
F2_P14_40,10.34005251,26.47993064
F2_P14_41,2.776675922,21.95023477
F2_P14_42,2.251319273,43.0664513
F2_P14_43,4.45826617,42.26104117
F2_P14_44,0.524934383,67.9560911
F2_P14_45,5.595613934,66.20820966
F2_P14_46,7.348535657,23.8432192
F2_P14_47,1.678338579,65.87002891
F2_P14_48,7.842943251,51.58656745
F2_P14_49,9.332803092,29.66985903
F2_P14_50,1.915781296,97.82089971
